,Date,City,Country,Cloudiness,Humidity,Latitude,Longitude,Maximum Temp,Wind Speed
0,2021-06-02 12:32:59,dali,CN,37,86,25.7,100.1833,291.24,2.57
1,2021-06-02 12:33:01,bluff,NZ,71,81,-46.6,168.3333,283.04,4.65
2,2021-06-02 12:33:02,norman wells,CA,75,76,65.282,-126.8329,280.17,4.63
3,2021-06-02 12:33:05,leningradskiy,RU,59,94,69.3833,178.4167,269.84,4.36
4,2021-06-02 12:33:06,tuatapere,NZ,30,89,-46.1333,167.6833,283.05,2.35
5,2021-06-02 12:33:08,kaitangata,NZ,13,91,-46.2817,169.8464,278.8,2.95
6,2021-06-02 12:33:09,avarua,CK,64,73,-21.2078,-159.775,297.18,5.66
7,2021-06-02 12:33:10,vaini,TO,20,88,-21.2,-175.2,293.24,1.03
8,2021-06-02 12:33:12,okhotsk,RU,89,87,59.3833,143.3,275.98,3.02
9,2021-06-02 12:33:13,arraial do cabo,BR,0,73,-22.9661,-42.0278,300.13,6.17
10,2021-06-02 12:33:14,chifeng,CN,3,35,42.2683,118.9636,284.95,3.09
11,2021-06-02 12:33:16,hithadhoo,MV,71,68,-0.6,73.0833,301.94,7.71
12,2021-06-02 12:33:19,hermanus,ZA,95,82,-34.4187,19.2345,289.76,5.87
13,2021-06-02 12:33:21,sorland,NO,13,75,67.667,12.6934,292.19,2.75
14,2021-06-02 12:33:22,honningsvag,NO,0,42,70.9821,25.9704,290.89,6.17
15,2021-06-02 12:33:24,talnakh,RU,97,91,69.4865,88.3972,274.35,3.75
16,2021-06-02 12:33:25,georgetown,MY,20,87,5.4112,100.3354,301.98,0.45
17,2021-06-02 12:33:26,port alfred,ZA,96,78,-33.5906,26.891,289.05,6.88
18,2021-06-02 12:33:28,barrow,US,90,74,71.2906,-156.7887,271.16,7.72
19,2021-06-02 12:33:29,rikitea,PF,98,60,-23.1203,-134.9692,295.3,7.73
20,2021-06-02 12:25:02,seoul,KR,0,85,37.5683,126.9778,292.88,0.85
21,2021-06-02 12:30:43,punta arenas,CL,0,74,-53.15,-70.9167,273.21,3.18
22,2021-06-02 12:33:33,oktyabrskoye,RU,75,82,43.0645,44.7417,290.23,1.49
23,2021-06-02 12:33:34,hasaki,JP,100,80,35.7333,140.8333,291.03,4.62
24,2021-06-02 12:33:36,atasu,KZ,84,82,48.6814,71.6433,290.86,2.87
25,2021-06-02 12:33:38,ilulissat,GL,1,42,69.2167,-51.1,281.16,3.6
26,2021-06-02 12:33:39,tromso,NO,0,48,69.6496,18.957,297.51,2.06
27,2021-06-02 12:32:18,ushuaia,AR,20,93,-54.8,-68.3,274.94,2.57
28,2021-06-02 12:33:42,mahebourg,MU,40,69,-20.4081,57.7,298.29,5.66
29,2021-06-02 12:33:45,zhigansk,RU,85,77,66.7697,123.3711,286.18,5.79
30,2021-06-02 12:33:46,saint-philippe,RE,91,82,-21.3585,55.7679,296.92,6.36
31,2021-06-02 12:33:48,atuona,PF,45,72,-9.8,-139.0333,299.55,6.94
32,2021-06-02 12:33:49,nikolskoye,RU,15,65,59.7035,30.7861,291.09,2.8
33,2021-06-02 12:32:03,san cristobal,VE,100,52,7.7669,-72.225,301.25,2.56
34,2021-06-02 12:33:51,busselton,AU,96,69,-33.65,115.3333,288.82,0.96
35,2021-06-02 12:33:53,saskylakh,RU,100,87,71.9167,114.0833,274.76,8.41
36,2021-06-02 12:33:54,kawalu,ID,64,97,-7.3817,108.2082,295.91,0.45
37,2021-06-02 12:33:55,airai,TL,94,89,-8.9266,125.4092,286.77,1.08
38,2021-06-02 12:33:57,ahipara,NZ,98,78,-35.1667,173.1667,286.63,2.74
39,2021-06-02 12:33:59,biak,ID,99,80,-0.9131,122.8766,297.3,2.32
40,2021-06-02 12:34:00,uribia,CO,100,49,11.7139,-72.266,305.82,7.59
41,2021-06-02 12:34:02,sumbe,AO,4,82,-11.2061,13.8437,298.08,1.6
42,2021-06-02 12:34:04,mar del plata,AR,40,68,-38.0023,-57.5575,287.09,1.79
43,2021-06-02 12:34:05,esperance,AU,56,78,-33.8667,121.9,286.06,3.57
44,2021-06-02 12:31:08,jamestown,US,1,49,42.097,-79.2353,293.95,4.12
45,2021-06-02 12:34:08,wattegama,LK,40,87,6.7989,81.4808,297.93,1.34
46,2021-06-02 12:34:09,lorengau,PG,95,87,-2.0226,147.2712,299.49,2.03
47,2021-06-02 12:34:11,russell,US,1,51,32.3502,-85.1999,301.77,2.67
48,2021-06-02 12:34:12,butaritari,KI,100,79,3.0707,172.7902,301.29,6.97
49,2021-06-02 12:34:14,rovaniemi,FI,0,28,66.5,25.7167,296.82,2.06
50,2021-06-02 12:34:08,isangel,VU,14,67,-19.55,169.2667,293.53,3.5
51,2021-06-02 12:34:17,darnah,LY,13,61,32.767,22.6367,293.61,3.16
52,2021-06-02 12:30:29,saint george,US,1,15,37.1041,-113.5841,308.9,0.89
53,2021-06-02 12:34:20,puerto ayora,EC,66,78,-0.7393,-90.3518,299.13,3.13
54,2021-06-02 12:34:21,saint anthony,US,20,54,45.0205,-93.218,299.68,1.79
55,2021-06-02 12:34:23,bangolo,CI,61,45,7.0069,-7.475,305.22,1.55
56,2021-06-02 12:24:14,albany,US,100,49,42.6001,-73.9662,299.31,3.07
57,2021-06-02 12:34:25,carnarvon,AU,73,82,-24.8667,113.6333,287.19,4.63
58,2021-06-02 12:34:26,longyearbyen,SJ,75,70,78.2186,15.6401,279.06,6.17
59,2021-06-02 12:34:28,hebi,CN,100,63,35.8992,114.1925,296.32,2.12
60,2021-06-02 12:34:29,vestmanna,FO,75,93,62.1564,-7.1664,282.66,0.7
61,2021-06-02 12:34:31,jiuquan,CN,86,16,39.7432,98.5174,287.69,3.3
62,2021-06-02 12:34:32,phuket,TH,20,94,8.0,98.25,304.26,1.81
63,2021-06-02 12:34:33,great yarmouth,GB,91,88,52.6083,1.7305,293.76,5.28
64,2021-06-02 12:34:35,richards bay,ZA,1,79,-28.783,32.0377,289.27,2.27
65,2021-06-02 12:34:36,faya,SA,61,19,18.3851,42.4509,300.21,5.16
66,2021-06-02 12:32:48,victoria,HK,86,90,22.2855,114.1577,302.77,0.45
67,2021-06-02 12:34:38,katsuura,JP,93,83,35.1333,140.3,294.32,3.72
68,2021-06-02 12:34:40,hurghada,EG,0,30,27.2574,33.8129,304.17,10.29
69,2021-06-02 12:34:41,vila velha,BR,0,74,-20.3297,-40.2925,300.12,0.89
70,2021-06-02 12:34:42,aklavik,CA,90,86,68.2191,-135.0107,273.61,2.57
71,2021-06-02 12:34:44,mus,TR,0,42,39.0,41.75,285.8,3.82
72,2021-06-02 12:34:46,wakkanai,JP,83,90,45.4094,141.6739,282.96,5.8
73,2021-06-02 12:34:48,dingle,PH,100,92,10.9995,122.6711,298.06,2.78
74,2021-06-02 12:32:21,mahon,ES,20,78,39.8885,4.2658,295.46,6.17
75,2021-06-02 12:34:50,eyl,SO,86,75,7.9803,49.8164,300.24,7.96
76,2021-06-02 12:34:51,prabumulih,ID,50,99,-3.45,104.25,296.63,1.38
77,2021-06-02 12:34:53,tingo maria,PE,40,83,-9.2895,-76.0088,299.32,1.83
78,2021-06-02 12:34:54,sitka,US,90,93,57.0531,-135.33,283.09,4.63
79,2021-06-02 12:30:05,bethel,US,40,57,41.3712,-73.414,300.43,2.57
80,2021-06-02 12:34:58,jiangyou,CN,100,69,31.7667,104.7167,294.27,3.53
81,2021-06-02 12:34:59,kavieng,PG,97,82,-2.5744,150.7967,300.34,4.13
82,2021-06-02 12:35:00,castro,BR,10,63,-24.7911,-50.0119,294.37,3.91
83,2021-06-02 12:35:02,faanui,PF,50,71,-16.4833,-151.75,300.06,6.47
84,2021-06-02 12:35:04,kavaratti,IN,24,76,10.5669,72.642,301.8,7.29
85,2021-06-02 12:35:06,harboore,DK,44,77,56.6175,8.1807,290.98,4.63
86,2021-06-02 12:35:07,puerto suarez,BO,40,62,-18.95,-57.8,306.35,3.09
87,2021-06-02 12:35:08,college,US,75,78,64.8569,-147.8028,286.33,0.0
88,2021-06-02 12:35:10,flin flon,CA,75,36,54.7682,-101.865,300.06,4.64
89,2021-06-02 12:35:11,guerrero negro,MX,6,53,27.9769,-114.0611,295.07,4.76
90,2021-06-02 12:35:12,kaura namoda,NG,44,23,12.5898,6.5779,308.05,1.65
91,2021-06-02 12:35:15,shetpe,KZ,0,40,44.1667,52.1167,300.15,3.42
92,2021-06-02 12:35:16,coihaique,CL,90,81,-45.5752,-72.0662,279.49,2.06
93,2021-06-02 12:35:19,dzilam gonzalez,MX,26,46,21.2833,-88.9333,306.6,4.02
94,2021-06-02 12:35:20,bata,GQ,40,94,1.8639,9.7658,299.07,0.0
95,2021-06-02 12:35:22,bengkulu,ID,33,86,-3.8004,102.2655,298.28,1.72
96,2021-06-02 12:35:23,inhambane,MZ,21,85,-23.865,35.3833,293.79,1.65
97,2021-06-02 12:35:25,upernavik,GL,52,81,72.7868,-56.1549,273.12,3.25
98,2021-06-02 12:35:27,luderitz,NA,0,32,-26.6481,15.1594,293.02,5.49
99,2021-06-02 12:35:28,mount gambier,AU,40,93,-37.8333,140.7667,282.1,0.0
100,2021-06-02 12:35:31,pucallpa,PE,75,62,-8.3791,-74.5539,303.17,0.0
101,2021-06-02 12:35:33,oranjemund,NA,1,57,-28.55,16.4333,289.11,8.31
102,2021-06-02 12:35:35,kapaa,US,1,81,22.0752,-159.319,298.33,0.45
103,2021-06-02 12:35:36,havelock,US,40,79,34.8791,-76.9013,300.34,2.24
104,2021-06-02 12:35:39,chokurdakh,RU,64,28,70.6333,147.9167,289.19,2.07
105,2021-06-02 12:35:42,leshukonskoye,RU,100,78,64.8989,45.7622,280.1,4.13
106,2021-06-02 12:35:42,morehead,US,90,89,37.2711,-87.1764,294.17,7.2
107,2021-06-02 12:35:45,tessalit,ML,2,5,20.1986,1.0114,314.3,3.2
108,2021-06-02 12:35:46,vostok,RU,100,67,46.4856,135.8833,283.13,2.18
109,2021-06-02 12:35:48,manicore,BR,0,34,-5.8092,-61.3003,308.2,0.36
110,2021-06-02 12:35:49,qaqortoq,GL,100,78,60.7167,-46.0333,284.43,7.95
111,2021-06-02 12:35:51,vernon,CA,24,41,50.2581,-119.2691,301.65,1.03
112,2021-06-02 12:35:52,chuy,UY,24,55,-33.6971,-53.4616,290.98,5.8
113,2021-06-02 12:35:53,rafaela,AR,96,31,-31.2503,-61.4867,296.47,0.89
114,2021-06-02 12:35:55,havre-saint-pierre,CA,1,63,50.2334,-63.5986,288.35,12.35
115,2021-06-02 12:35:56,cidreira,BR,70,63,-30.1811,-50.2056,293.72,4.95
116,2021-06-02 12:35:58,east london,ZA,20,82,-33.0153,27.9116,289.67,5.66
117,2021-06-02 12:35:59,bambous virieux,MU,40,69,-20.3428,57.7575,297.71,8.16
118,2021-06-02 12:36:00,mataura,NZ,18,97,-46.1927,168.8643,282.86,1.44
119,2021-06-02 12:36:02,egvekinot,RU,24,70,66.3167,-179.1667,270.36,0.97
120,2021-06-02 12:36:03,cuitzeo,MX,98,47,20.3333,-102.7833,294.18,3.12
121,2021-06-02 12:36:04,qaanaaq,GL,47,78,77.484,-69.3632,270.73,0.86
122,2021-06-02 12:36:06,pontes e lacerda,BR,44,29,-15.2261,-59.3353,308.0,2.65
123,2021-06-02 12:36:08,nelson bay,AU,90,95,-32.7167,152.15,286.31,2.56
